text,file
None,2023Jun10_220252/chunk1.flac
So. ,2023Jun10_220252/chunk2.flac
None,2023Jun10_220252/chunk3.flac
Versace mansion. ,2023Jun10_220252/chunk4.flac
It's been. ,2023Jun10_220252/chunk5.flac
25 years. ,2023Jun10_220252/chunk6.flac
Skepta. ,2023Jun10_220252/chunk7.flac
Wake me up with in friends. ,2023Jun10_220252/chunk8.flac
Professional colleagues in cell. ,2023Jun10_220252/chunk9.flac
No i look in the room and i see this old friends. ,2023Jun10_220252/chunk10.flac
So happy together. ,2023Jun10_220252/chunk11.flac
I am. ,2023Jun10_220252/chunk12.flac
He also mentioned that. ,2023Jun10_220252/chunk13.flac
None,2023Jun10_220252/chunk14.flac
I'm very systematic meaning. ,2023Jun10_220252/chunk15.flac
None,2023Jun10_220252/chunk16.flac
I got in a habit. ,2023Jun10_220252/chunk17.flac
And everytime i would make a decision. ,2023Jun10_220252/chunk18.flac
To write down the criteria i would use to make that. ,2023Jun10_220252/chunk19.flac
We're getting a little like away. ,2023Jun10_220252/chunk20.flac
None,2023Jun10_220252/chunk21.flac
And it's not a. ,2023Jun10_220252/chunk22.flac
So i don't even know. ,2023Jun10_220252/chunk23.flac
None,2023Jun10_220252/chunk24.flac
None,2023Jun10_220252/chunk25.flac
So everytime i would make a decision i would write down on the criteria used for making notice. ,2023Jun10_220252/chunk26.flac
Because. ,2023Jun10_220252/chunk27.flac
Cause effect everything happens because of course. ,2023Jun10_220252/chunk28.flac
So in the same things happen over and over again. ,2023Jun10_220252/chunk29.flac
And so by taking the time to write them down. ,2023Jun10_220252/chunk30.flac
And then seeing how those criteria would have worked over a period of time i can get respect. ,2023Jun10_220252/chunk31.flac
Until i wrote down those printer. ,2023Jun10_220252/chunk32.flac
Is hashem mentioned. ,2023Jun10_220252/chunk33.flac
I wrote a book. ,2023Jun10_220252/chunk34.flac
Call princess. ,2023Jun10_220252/chunk35.flac
Which has to do which just was a collection of the life and work principles so the culture that we are. ,2023Jun10_220252/chunk36.flac
Is very very important it was really the most important thing in terms of. ,2023Jun10_220252/chunk37.flac
None,2023Jun10_220252/chunk38.flac
At same time i rub down. ,2023Jun10_220252/chunk39.flac
Are the economic and investment prince. ,2023Jun10_220252/chunk40.flac
So what i thought i would do today is to share with you. ,2023Jun10_220252/chunk41.flac
What i think of my most important. ,2023Jun10_220252/chunk42.flac
Economic and investment principles and then look at the world through the perspective of those print. ,2023Jun10_220252/chunk43.flac
Numbers rather than just tell you what i think. ,2023Jun10_220252/chunk44.flac
I want to tell you how it works. ,2023Jun10_220252/chunk45.flac
And then we can apply that mechanics you can decide that work that way. ,2023Jun10_220252/chunk46.flac
Or not so all these principal. ,2023Jun10_220252/chunk47.flac
Valuable because if you know. ,2023Jun10_220252/chunk48.flac
The principals. ,2023Jun10_220252/chunk49.flac
None,2023Jun10_220252/chunk50.flac
It's like it's giving out like i'm giving them the fish ability to fish rather than to just. ,2023Jun10_220252/chunk51.flac
I can tell you what i said. ,2023Jun10_220252/chunk52.flac
These principles are right then you can apply them yourself. ,2023Jun10_220252/chunk53.flac
Two weather. ,2023Jun10_220252/chunk54.flac
Circumstance. ,2023Jun10_220252/chunk55.flac
So. ,2023Jun10_220252/chunk56.flac
I broke it down in terms of economic principles. ,2023Jun10_220252/chunk57.flac
Investment principles because. ,2023Jun10_220252/chunk58.flac
The market. ,2023Jun10_220252/chunk59.flac
The economy. ,2023Jun10_220252/chunk60.flac
So in order to understand. ,2023Jun10_220252/chunk61.flac
Economics and other markets you have to understand. ,2023Jun10_220252/chunk62.flac
An ordinance in the market you have done staying in a corner. ,2023Jun10_220252/chunk63.flac
So. ,2023Jun10_220252/chunk64.flac
I want to describe how i think the economy work. ,2023Jun10_220252/chunk65.flac
To perpetual motion. ,2023Jun10_220252/chunk66.flac
There are four big force. ,2023Jun10_220252/chunk67.flac
Three important equilibriums in tool. ,2023Jun10_220252/chunk68.flac
Get this down. ,2023Jun10_220252/chunk69.flac
Just basically everything through my eyes. ,2023Jun10_220252/chunk70.flac
Is a long as. ,2023Jun10_220252/chunk71.flac
None,2023Jun10_220252/chunk72.flac
Over period of time we raise our living standards because we learn how to do things better we become more of fish. ,2023Jun10_220252/chunk73.flac
That's quite productivity. ,2023Jun10_220252/chunk74.flac
Fermanagh. ,2023Jun10_220252/chunk75.flac
A map is something about over a period of time. ,2023Jun10_220252/chunk76.flac
That is because it is not something that. ,2023Jun10_220252/chunk77.flac
Is a big thing that we see isn't it. ,2023Jun10_220252/chunk78.flac
But it's the most important thing over a period of time. ,2023Jun10_220252/chunk79.flac
The big things that we seeing people everyday or depths. ,2023Jun10_220252/chunk80.flac
There's a short-term debt cycle is a long-term debt. ,2023Jun10_220252/chunk81.flac
When i say a short-term debts. ,2023Jun10_220252/chunk82.flac
Here's what we think of is normally the business. ,2023Jun10_220252/chunk83.flac
Right you have a recession you have a weakness in a car. ,2023Jun10_220252/chunk84.flac
When the rate of economic activity is too low. ,2023Jun10_220252/chunk85.flac
Then central banks produce. ,2023Jun10_220252/chunk86.flac
Credit. ,2023Jun10_220252/chunk87.flac
Credit is buying tower. ,2023Jun10_220252/chunk88.flac
So yeah produce that credit it makes purchases of goods services and financial assets happen. ,2023Jun10_220252/chunk89.flac
So the economy picks up. ,2023Jun10_220252/chunk90.flac
That cycle usually lasts. ,2023Jun10_220252/chunk91.flac
7 to 10 years. ,2023Jun10_220252/chunk92.flac
As the economy picks up. ,2023Jun10_220252/chunk93.flac
I'm the demand rises relative to the capacity as you get later in the cycle the central line puts the brakes on it they raise interest rates. ,2023Jun10_220252/chunk94.flac
As the interest rates go slow up and that's the cycle right and because. ,2023Jun10_220252/chunk95.flac
None,2023Jun10_220252/chunk96.flac
Our power. ,2023Jun10_220252/chunk97.flac
By providing you. ,2023Jun10_220252/chunk98.flac
And that means the obligation to pay back. ,2023Jun10_220252/chunk99.flac
And so by it's very nature is cyclical first comes the stimulation then comes the pain back which means you when you when you produce credit you can spend more than you were. ,2023Jun10_220252/chunk100.flac
And when you pay back. ,2023Jun10_220252/chunk101.flac
You have to. ,2023Jun10_220252/chunk102.flac
Spend less than you are and that's the nature of the psyche. ,2023Jun10_220252/chunk103.flac
And without cycle goes market cycles which will talk. ,2023Jun10_220252/chunk104.flac
That's what i mean by the short-term get cycle. ,2023Jun10_220252/chunk105.flac
Results of the term dates. ,2023Jun10_220252/chunk106.flac
Which is the accumulation of all of them. ,2023Jun10_220252/chunk107.flac
Depots short-term debt cycle. ,2023Jun10_220252/chunk108.flac
Because. ,2023Jun10_220252/chunk109.flac
Everybody things to go up. ,2023Jun10_220252/chunk110.flac
There are surprises markets to go up there one employment to go up they want everything to go. ,2023Jun10_220252/chunk111.flac
None,2023Jun10_220252/chunk112.flac
I'm very. ,2023Jun10_220252/chunk113.flac
Central bank. ,2023Jun10_220252/chunk114.flac
Over period of time simulator and they do that bye. ,2023Jun10_220252/chunk115.flac
Ring interest. ,2023Jun10_220252/chunk116.flac
Until interest rates of 0. ,2023Jun10_220252/chunk117.flac
And then when interest rates of 0 they can do that anymore. ,2023Jun10_220252/chunk118.flac
None,2023Jun10_220252/chunk119.flac
We come to the need to print money and buy for me and two acids which we go quantitative easing. ,2023Jun10_220252/chunk120.flac
And when they were there a limit. ,2023Jun10_220252/chunk121.flac
We come to the end of the long-term debt cycle. ,2023Jun10_220252/chunk122.flac
So cycle on productivity. ,2023Jun10_220252/chunk123.flac
Now related to. ,2023Jun10_220252/chunk124.flac
None,2023Jun10_220252/chunk125.flac
Politics. ,2023Jun10_220252/chunk126.flac
An extra hour palette. ,2023Jun10_220252/chunk127.flac
In that normal cycle. ,2023Jun10_220252/chunk128.flac
Devil lady. ,2023Jun10_220252/chunk129.flac
Are as we're going to see. ,2023Jun10_220252/chunk130.flac
In terms of that dynamic. ,2023Jun10_220252/chunk131.flac
Period that were going through. ,2023Jun10_220252/chunk132.flac
2018-9 there was a debt cycle. ,2023Jun10_220252/chunk133.flac
An interest rates of 0. ,2023Jun10_220252/chunk134.flac
And that's very similar to 1929 to 32 there was a debt crisis. ,2023Jun10_220252/chunk135.flac
An interest rate of 0. ,2023Jun10_220252/chunk136.flac
Both of those cases. ,2023Jun10_220252/chunk137.flac
There was the printing of money in the bank. ,2023Jun10_220252/chunk138.flac
Which caused those financial asset prices to go up. ,2023Jun10_220252/chunk139.flac
The economy. ,2023Jun10_220252/chunk140.flac
And that particularly benefit in. ,2023Jun10_220252/chunk141.flac
Those who have for the angelus. ,2023Jun10_220252/chunk142.flac
Contributed. ,2023Jun10_220252/chunk143.flac
To the wealthy. ,2023Jun10_220252/chunk144.flac
My. ,2023Jun10_220252/chunk145.flac
Income gap. ,2023Jun10_220252/chunk146.flac
Asda technology. ,2023Jun10_220252/chunk147.flac
And as a result of that in the 1930s as also happened now politics entered into the picture. ,2023Jun10_220252/chunk148.flac
So as we seeing in the world right now that issue of. ,2023Jun10_220252/chunk149.flac
Wealth gap. ,2023Jun10_220252/chunk150.flac
None,2023Jun10_220252/chunk151.flac
Populism. ,2023Jun10_220252/chunk152.flac
None,2023Jun10_220252/chunk153.flac
Having an effect on the market and having an effect on the economy. ,2023Jun10_220252/chunk154.flac
We're also seeing a situation. ,2023Jun10_220252/chunk155.flac
Very much like to 30. ,2023Jun10_220252/chunk156.flac
In which a rising power. ,2023Jun10_220252/chunk157.flac
Are challenging an existing power. ,2023Jun10_220252/chunk158.flac
None,2023Jun10_220252/chunk159.flac
The geopolitical psycho. ,2023Jun10_220252/chunk160.flac
Rising in the form of china. ,2023Jun10_220252/chunk161.flac
Has a challenging existing power in the form of the united states. ,2023Jun10_220252/chunk162.flac
And if we look at histories and cycles of though. ,2023Jun10_220252/chunk163.flac
Period. ,2023Jun10_220252/chunk164.flac
There is a cycle of. ,2023Jun10_220252/chunk165.flac
Conflict and peace. ,2023Jun10_220252/chunk166.flac
It happens after war because some dominant country. ,2023Jun10_220252/chunk167.flac
When's the war nobody wants to buy. ,2023Jun10_220252/chunk168.flac
Power and you have an extended period of peace until there's then that particular can't. ,2023Jun10_220252/chunk169.flac
Does amazon wigan have a military conflict or anything like that. ,2023Jun10_220252/chunk170.flac
None,2023Jun10_220252/chunk171.flac
You know that always exists as possible. ,2023Jun10_220252/chunk172.flac
So these cycle. ,2023Jun10_220252/chunk173.flac
These things have happened over and over. ,2023Jun10_220252/chunk174.flac
So centres.in can affect. ,2023Jun10_220252/chunk175.flac
Leave the cycle. ,2023Jun10_220252/chunk176.flac
Does the shift in the united states. ,2023Jun10_220252/chunk177.flac
Changes help the corporate tax picture and cause stock prices to rise. ,2023Jun10_220252/chunk178.flac
None,2023Jun10_220252/chunk179.flac
Those of the psyche. ,2023Jun10_220252/chunk180.flac
What's happened. ,2023Jun10_220252/chunk181.flac
I compare it to three. ,2023Jun10_220252/chunk182.flac
What are these three equilibria. ,2023Jun10_220252/chunk183.flac
First. ,2023Jun10_220252/chunk184.flac
The depp roles has to be in line with the income growth that's required to service the debt. ,2023Jun10_220252/chunk185.flac
Stepbro is faster than the income growth that's going to service the debt. ,2023Jun10_220252/chunk186.flac
We're going to have just. ,2023Jun10_220252/chunk187.flac
And so i'm always doing the pro forma what is the ability to service that debt. ,2023Jun10_220252/chunk188.flac
So that's what i'm watching. ,2023Jun10_220252/chunk189.flac
Second equilibrium. ,2023Jun10_220252/chunk190.flac
Is there the rate of economic activity. ,2023Jun10_220252/chunk191.flac
Economic capacity euros. ,2023Jun10_220252/chunk192.flac
Is neither too high or too low what that means. ,2023Jun10_220252/chunk193.flac
Is if you have a pressing up too much of an overheating economy. ,2023Jun10_220252/chunk194.flac
That's going to be quite tight in the monetary policy in the car. ,2023Jun10_220252/chunk195.flac
And if you have a too low so that the economy is depressed. ,2023Jun10_220252/chunk196.flac
And there's a lot of swag that's going to cause an adjustment to bring it. ,2023Jun10_220252/chunk197.flac
In so i'm always watching where are we relative to that because that's a key driver of that of the psycho. ,2023Jun10_220252/chunk198.flac
And the third. ,2023Jun10_220252/chunk199.flac
None,2023Jun10_220252/chunk200.flac
That the projected returns of equity. ,2023Jun10_220252/chunk201.flac
Or above the projected returns of bonds. ,2023Jun10_220252/chunk202.flac
Which are above the projected returns of cash. ,2023Jun10_220252/chunk203.flac
Buy appropriate risk premiums another word for the capital markets. ,2023Jun10_220252/chunk204.flac
Produce the circulation. ,2023Jun10_220252/chunk205.flac
Are bank in the form of this credit coming around. ,2023Jun10_220252/chunk206.flac
And this relationship of the cash. ,2023Jun10_220252/chunk207.flac
None,2023Jun10_220252/chunk208.flac
Determine town money flows through the economy. ,2023Jun10_220252/chunk209.flac
Paranormal condition is reasons i won't digress into. ,2023Jun10_220252/chunk210.flac
Travel return from ecuador. ,2023Jun10_220252/chunk211.flac
Having to do with how the system works basically central banks location deposit people better idea. ,2023Jun10_220252/chunk212.flac
Have to make a profit to that day use that money to pray. ,2023Jun10_220252/chunk213.flac
These other are the world economic activity in ever after high return. ,2023Jun10_220252/chunk214.flac
